Run,Status
SRR3649789,Non-investigated-Isolate-Low-Diversity
SRR11300557,Non-investigated-Isolate-Low-Diversity
SRR11300706,Non-investigated-Isolate-Low-Diversity
SRR3743169,Non-investigated-Isolate-Low-Diversity
SRR3649731,Non-investigated-Isolate-Low-Diversity
SRR3660012,Non-investigated-Isolate-Low-Diversity
SRR6163103,Non-investigated-Isolate-Low-Diversity
SRR9280623,Non-investigated-Isolate-Low-Diversity
SRR1373618,Non-investigated-Isolate-Low-Diversity
SRR2147312,Non-investigated-Isolate-Low-Diversity
SRR12185765,Non-investigated-Isolate-Low-Diversity
SRR10850553,Non-investigated-Isolate-Low-Diversity
SRR12185764,Non-investigated-Isolate-Low-Diversity
SRR3649730,Non-investigated-Isolate-Low-Diversity
SRR3660026,Non-investigated-Isolate-Low-Diversity
SRR11300473,Non-investigated-Isolate-Low-Diversity
SRR5839918,Non-investigated-Isolate-Low-Diversity
SRR11300651,Non-investigated-Isolate-Low-Diversity
SRR3199552,Non-investigated-Isolate-Low-Diversity
SRR3649756,Non-investigated-Isolate-Low-Diversity
SRR3660017,Non-investigated-Isolate-Low-Diversity
SRR3649729,Non-investigated-Isolate-Low-Diversity
SRR3660013,Non-investigated-Isolate-Low-Diversity
SRR3660022,Non-investigated-Isolate-Low-Diversity
SRR3660014,Non-investigated-Isolate-Low-Diversity
SRR3660024,Non-investigated-Isolate-Low-Diversity
SRR3660018,Non-investigated-Isolate-Low-Diversity
SRR3660016,Non-investigated-Isolate-Low-Diversity
SRR3743165,Non-investigated-Isolate-Low-Diversity
SRR3021476,Non-investigated-Isolate-Low-Diversity
SRR3021475,Non-investigated-Isolate-Low-Diversity
SRR9952506,Non-investigated-Isolate-Low-Diversity
SRR3021477,Non-investigated-Isolate-Low-Diversity
SRR3021483,Non-investigated-Isolate-Low-Diversity
SRR10850552,Non-investigated-Isolate-Low-Diversity
SRR5985801,Non-investigated-Isolate-Low-Diversity
SRR5870989,Non-investigated-Isolate-Low-Diversity
SRR13187410,Non-investigated-Isolate-Low-Diversity
SRR7449516,Non-investigated-Isolate-Low-Diversity
SRR10559620,Non-investigated-Isolate-Low-Diversity
SRR10559647,Non-investigated-Isolate-Low-Diversity
SRR2636959,Non-investigated-Isolate-Low-Diversity
SRR2636958,Non-investigated-Isolate-Low-Diversity
SRR7521604,Non-investigated-Isolate-Low-Diversity
